time,forward_velocity_target,balance_x_velocity_target,forward_velocity,forward_distance,x,x_velocity,pitch,pitch_rate,wheel_torque,base_height
0.001,0.0,0.0,0.0016884764153716628,1.688476415371663e-06,-1.688476415371663e-06,-0.0016884764153716628,1.275549096431292e-05,0.012755491113348625,0.0,0.3433515956834512
0.002,0.000125,0.000125,0.0032215725450528074,4.91004896042447e-06,-4.91004896042447e-06,-0.0032215725450528074,3.7023608896090254e-05,0.024268118458834836,0.010880858492229977,0.34334290170205317
0.003,0.00025,0.00025,0.004682076907250249,9.59212586767472e-06,-9.59212586767472e-06,-0.004682076907250249,7.189648799261342e-05,0.034872879046678955,0.056149953593525856,0.3433298764520654
0.004,0.000375,0.000375,0.006063911434792378,1.56560373024671e-05,-1.56560373024671e-05,-0.006063911434792378,0.00011644411462596817,0.04454762357117992,0.11656207562087059,0.3433125316410168
0.005,0.0005,0.0005,0.007363862604306156,2.3019899906773256e-05,-2.3019899906773256e-05,-0.007363862604306156,0.0001697291356924362,0.053285011670005364,0.1723701827510609,0.3432908871853665
0.006,0.000625,0.000625,0.00857932877632611,3.159922868309937e-05,-3.159922868309937e-05,-0.00857932877632611,0.00023081267270512863,0.06108351809939835,0.2234281098131516,0.3432649707113644
0.007,0.00075,0.00075,0.009708421699760892,4.1307650382860255e-05,-4.1307650382860255e-05,-0.009708421699760892,0.00029876057913465854,0.06794787611494764,0.2696746171113109,0.34323481707658926
0.008,0.000875,0.000875,0.01074998844207616,5.205763882493642e-05,-5.205763882493642e-05,-0.01074998844207616,0.00037264972669277954,0.07388910636373282,0.31107902194250425,0.3432004679268959
0.009000000000000001,0.001,0.001,0.011703617060691205,6.376125588562762e-05,-6.376125588562762e-05,-0.011703617060691205,0.00045157417454328423,0.07892439965559767,0.3476439463069415,0.3431619712802915
0.010000000000000002,0.0011250000000000001,0.0011250000000000001,0.012569626392152077,7.63308822777797e-05,-7.63308822777797e-05,-0.012569626392152077,0.0005346510891885101,0.08307686743026667,0.3794056762524967,0.3431193811312514
0.011000000000000003,0.0012500000000000002,0.0012500000000000002,0.013349041989754576,8.967992426753427e-05,-8.967992426753427e-05,-0.013349041989754576,0.0006210263031683617,0.08637518034332269,0.4064337356896881,0.3430727570702629
0.012000000000000004,0.0013750000000000004,0.0013750000000000004,0.014043560181836681,0.00010372348444937096,-0.00010372348444937096,-0.014043560181836681,0.0007098794203798094,0.08885311466384886,0.42882974076466995,0.34302216391454726
0.013000000000000005,0.0015000000000000005,0.0015000000000000005,0.014655502155876049,0.000118378986605247,-0.000118378986605247,-0.014655502155876049,0.0008004283944913005,0.09054902516323216,0.4467256415798083,0.3429676713469184
0.014000000000000005,0.0016250000000000006,0.0016250000000000006,0.01518775987508937,0.00013356674648033637,-0.00013356674648033637,-0.01518775987508937,0.0008919335243177864,0.09150526189350797,0.4602814547611298,0.34290935356058694
0.015000000000000006,0.0017500000000000007,0.0017500000000000007,0.01564373551972627,0.00014921048200006263,-0.00014921048200006263,-0.01564373551972627,0.0009837008260073791,0.09176754684377904,0.469682585536052,0.34284728890840865
0.016000000000000007,0.0018750000000000008,0.0018750000000000008,0.016027276024725548,0.00016523775802478817,-0.00016523775802478817,-0.016027276024725548,0.0010750847564349117,0.09138432501968695,0.4751368315938125,0.3427815595556268
0.017000000000000008,0.002000000000000001,0.002000000000000001,0.016342604165739613,0.00018158036219052777,-0.00018158036219052777,-0.016342604165739613,0.0011654902753310099,0.09040610307848125,0.476871153824579,0.34271225113557546
0.01800000000000001,0.002125000000000001,0.002125000000000001,0.016594247531141228,0.000198174609721669,-0.000198174609721669,-0.016594247531141228,0.0012543742454695988,0.08888478731234711,0.4751282915989059,0.3426394524081243
0.01900000000000001,0.002250000000000001,0.002250000000000001,0.016786966610972013,0.000214961576332641,-0.000214961576332641,-0.016786966610972013,0.0013412461807873917,0.08687303152854196,0.4701632929206249,0.3425632549208697
0.02000000000000001,0.0023750000000000012,0.0023750000000000012,0.01692568313581751,0.00023188725946845853,-0.00023188725946845853,-0.01692568313581751,0.0014256683617203379,0.08442360423556786,0.4622400227996864,0.3424837526732363
0.02100000000000001,0.0025000000000000014,0.0025000000000000014,0.017015409709044062,0.0002489026691775026,-0.0002489026691775026,-0.017015409709044062,0.0015072553454168614,0.08158878350804136,0.45162770668390506,0.34240104178376574
0.022000000000000013,0.0026250000000000015,0.0026250000000000015,0.017061181693530443,0.00026596385087103306,-0.00026596385087103306,-0.017061181693530443,0.001585672905918191,0.07841978695865488,0.43859755981935417,0.3423152201609548
0.023000000000000013,0.0027500000000000016,0.0027500000000000016,0.017067989171369518,0.00028303184004240255,-0.00028303184004240255,-0.017067989171369518,0.0016606364350270585,0.07496623244213792,0.42341954797665526,0.3422263871758998
