time,pitch,pitch_rate,x,x_velocity,x_drift,wheel_torque,base_height
0.001,3.0071018667082986e-07,0.0003005155842125111,-2.3613579407735148e-07,-0.00023613579407735148,-2.3613579407735148e-07,0.0,0.34334596830985853
0.002,2.2888540600688723e-06,0.001986589486247927,-8.684900276396427e-07,-0.0006323542335622913,-8.684900276396427e-07,0.0047227158815470295,0.3433261555662211
0.003,7.27507243159608e-06,0.004980998830831562,-2.04722583560452e-06,-0.0011787358079648773,-2.04722583560452e-06,0.010837976962237343,0.3432966805151348
0.004,1.648233670990252e-05,0.009194965083051718,-3.914679921067029e-06,-0.0018674540854625088,-3.914679921067029e-06,0.011609402160608606,0.3432576959637582
0.005,3.1057045455573974e-05,0.014550842159646277,-6.606485513934556e-06,-0.002691805592867526,-6.606485513934556e-06,0.007317587275628885,0.34320934750203175
0.006,5.2070022857277934e-05,0.020972021493307107,-1.0251479028052495e-05,-0.003644993514117939,-1.0251479028052495e-05,0.0016633253751578148,0.34315177388079615
0.007,8.051768552514833e-05,0.028383102997697977,-1.4971665191578494e-05,-0.004720186163525998,-1.4971665191578494e-05,0.015026323584630297,0.3430851073559102
0.008,0.00011732327892209224,0.036709966764972735,-2.0882196901516163e-05,-0.00591053170993767,-2.0882196901516163e-05,0.032469806146468216,0.34300947402640286
0.009000000000000001,0.00016333817613494277,0.04587983693911802,-2.8091368961314788e-05,-0.0072091720597986225,-2.8091368961314788e-05,0.05369833749793737,0.3429249941653677
0.010000000000000002,0.0002193432319987682,0.05582133813618728,-3.6700624623009075e-05,-0.008609255661694288,-3.6700624623009075e-05,0.07842282497230571,0.3428317825427515
0.011000000000000003,0.00028605018653988287,0.06646454541959941,-4.680457397857124e-05,-0.010103949355562159,-4.680457397857124e-05,0.10636067192352111,0.3427299487393513
0.012000000000000004,0.0003641031125135276,0.07774102869288527,-5.849102335150375e-05,-0.011686449372932513,-5.849102335150375e-05,0.1372359063458557,0.34261959745147874
0.013000000000000005,0.00045407990250163986,0.08958389224719099,-7.184101493339835e-05,-0.0133499915818946,-7.184101493339835e-05,0.17077928878974355,0.34250082878587434
0.014000000000000005,0.0005564937916175696,0.10192781008869183,-8.692887599213455e-05,-0.015087861058736194,-8.692887599213455e-05,0.2067284027696899,0.3423737385445642
0.015000000000000006,0.0006717949123501065,0.11470905757106936,-0.00010382227704954948,-0.016893401057414922,-0.00010382227704954948,0.24482773035845445,0.342238418499443
0.016000000000000007,0.0008003718784800137,0.1278655397695518,-0.00012258229848774023,-0.018760021438190746,-0.00012258229848774023,0.2848287152162032,0.3420949566564484
0.017000000000000008,0.0009425533953287838,0.1413368169549332,-0.00014326350509560702,-0.020681206607866803,-0.00014326350509560702,0.32648981490960255,0.34194343750925893
0.01800000000000001,0.0010986098938611632,0.15506412745769868,-0.00016591402811173036,-0.022650523016123324,-0.00016591402811173036,0.3695765440295742,0.341783942282504
0.01900000000000001,0.0012687551863689369,0.16899040815317162,-0.0001905756543570822,-0.024661626245351842,-0.0001905756543570822,0.41386150931370724,0.3416165491645247
0.02000000000000001,0.0014531481416216725,0.18306031274775442,-0.0002172839220822443,-0.026708267725162108,-0.0002172839220822443,0.459124437716378,0.34144133352976136
0.02100000000000001,0.0016518943774880067,0.1972202280032004,-0.0002460682231795404,-0.028784301097296093,-0.0002460682231795404,0.5051521981431649,0.3412583681508783
0.022000000000000013,0.0018650479691154401,0.21141828799978424,-0.0002769519114315316,-0.03088368825199122,-0.0002769519114315316,0.5517388173730373,0.34106772340076263
0.023000000000000013,0.002092613170813672,0.22560438650963102,-0.00030995241648436984,-0.03300050505283827,-0.00030995241648436984,0.5986854905291378,0.3408694674445548
0.024000000000000014,0.002334546149821878,0.23973018752774253,-0.0003450813632481951,-0.03512894676382525,-0.0003450813632481951,0.6458005863242484,0.34066366642188667
0.025000000000000015,0.002590756730159115,0.25374913398986915,-0.00038234469643768916,-0.03726333318949407,-0.00038234469643768916,0.6928996471975529,0.34045038461951505
0.026000000000000016,0.0028611101447637934,0.26761645469279405,-0.00042174280997459994,-0.039398113536910785,-0.00042174280997459994,0.7398053843730096,0.3402296846345509
0.027000000000000017,0.0031454287941269318,0.2812891694233144,-0.0004632706809810098,-0.04152787100640986,-0.0004632706809810098,0.7863476678041796,0.34000162752849006
0.028000000000000018,0.0034434940096184138,0.29472609229674185,-0.0005069180080977788,-0.04364732711676897,-0.0005069180080977788,0.8323635109238402,0.3397662729722591
0.02900000000000002,0.0037550478196987465,0.30788783330362607,-0.0005526693538673314,-0.045751345769552594,-0.0005526693538673314,0.8776970500870426,0.3395236793824931
0.03000000000000002,0.004079794717203684,0.32073679806418304,-0.0006005042909241139,-0.047834937056782455,-0.0006005042909241139,0.9221995185817643,0.33927390404926666
0.03100000000000002,0.004417403425887814,0.3332371857931375,-0.0006503975517399166,-0.04989326081580274,-0.0006503975517399166,0.965729215080078,0.3390170032555003
0.03200000000000002,0.004767508664417705,0.34535498548294224,-0.000702319181675079,-0.051921629935162444,-0.000702319181675079,1.0081514664131128,0.3387530323882687
0.03300000000000002,0.005129712906016918,0.3570579703201936,-0.0007562346950905695,-0.05391551341549039,-0.0007562346950905695,1.0493385845733294,0.33848204604223625
0.03400000000000002,0.0055035881319853795,0.368315690358122,-0.0008121052342802175,-0.0558705391896481,-0.0008121052342802175,1.089169817876197,0.33820409811545005
0.035000000000000024,0.005888677577344722,0.37909946347690837,-0.0008698877309870866,-0.05778249670686906,-0.0008698877309870866,1.1275312962485367,0.3379192418977202
0.036000000000000025,0.006284497466900046,0.3893823646728802,-0.0009295350702731768,-0.05964733928609028,-0.0009295350702731768,1.1643159706510566,0.3376275301518202
0.037000000000000026,0.006690538740056628,0.39913921372703126,-0.0009909962565173927,-0.061461186244215905,-0.0009909962565173927,1.1994235466865382,0.3373290151877428
0.03800000000000003,0.007106268762787689,0.40834656131243874,-0.0010542165813229797,-0.06322032480558709,-0.0010542165813229797,1.232760412490963,0.3370237489302492
0.03900000000000003,0.007531133025215367,0.4169826736087243,-0.0011191377931224146,-0.06492121179943483,-0.0011191377931224146,1.2642395610515769,0.3367117829799526
0.04000000000000003,0.007964556823341023,0.425027515499433,-0.0011856982682749485,-0.06656047515253376,-0.0011856982682749485,1.293780507141687,0.3363931686681802
0.04100000000000003,0.008405946923541574,0.43246273243484246,-0.0012538331834595765,-0.068134915184628,-0.0012538331834595765,1.3213091991059756,0.33606795710586285
0.04200000000000003,0.008854693208534731,0.43927163104805306,-0.0013234746891740202,-0.0696415057144436,-0.0013234746891740202,1.3467579257708575,0.3357361992267031
