rank,kp_pitch,kd_pitch,kx,kv,hip_pitch,knee,leg_kp,leg_kd,warning_count,finite,non_wheel_ground_contact_count,non_wheel_ground_contact_geoms,final_abs_pitch,peak_abs_pitch,peak_abs_x_drift,wheel_torque_saturation_fraction,standing_score,meets_standing_objective
255,35.0,4.0,16.0,10.0,0.0,0.1,60.0,4.0,0,True,0,,0.09499564011199625,0.12233789559497099,0.20336819533731804,0.0,0.828026546975245,True
256,35.0,6.0,16.0,12.0,0.0,0.1,60.0,4.0,0,True,0,,0.09775783893788004,0.12096331120273682,0.19813557870651038,0.0,0.8310935568635043,True
257,15.0,6.0,16.0,12.0,-0.2,0.18,60.0,4.0,0,True,0,,0.09557353865058893,0.17145746722066707,0.10795840316110492,0.0,0.8331674922047948,True
258,35.0,4.0,16.0,12.0,-0.1,0.1,60.0,4.0,0,True,0,,0.09884992308712112,0.12376300986724746,0.19342700104865954,0.0,0.836352713131639,True
259,35.0,4.0,20.0,12.0,-0.2,0.1,60.0,4.0,0,True,0,,0.08174100915117606,0.1839834766995009,0.15069430603995804,0.0,0.8456252960436641,True
260,35.0,6.0,20.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.08882877737682195,0.15578965296470187,0.18273013466700264,0.0,0.8496245501036942,True
261,20.0,4.0,20.0,12.0,-0.1,0.1,60.0,4.0,0,True,0,,0.1066195025272606,0.1614986419095783,0.10164207236363698,0.0,0.851117366291836,True
262,35.0,6.0,16.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.09727179788279082,0.13922971756475847,0.18837692472057083,0.0,0.8559235513812511,True
263,20.0,4.0,16.0,12.0,-0.1,0.1,60.0,4.0,0,True,0,,0.10942904772387649,0.15072575595066426,0.11809463451350445,0.0,0.8572623373103389,True
264,35.0,6.0,16.0,12.0,-0.1,0.1,60.0,4.0,0,True,0,,0.09601498948605112,0.1374404365818001,0.20300523799506884,0.0,0.8619460691028735,True
265,35.0,4.0,20.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.08818185793811069,0.17372072520964757,0.1668255351601936,0.0,0.8669944173319315,True
266,20.0,4.0,16.0,10.0,-0.1,0.1,60.0,4.0,0,True,0,,0.10693862237736168,0.1577304970675345,0.1285243809722051,0.0,0.8717398646167208,True
267,35.0,4.0,16.0,10.0,-0.1,0.1,60.0,4.0,0,True,0,,0.0990407308622951,0.13280754109973664,0.2100291939466814,0.0,0.8718071995953351,True
268,20.0,6.0,16.0,12.0,-0.1,0.1,60.0,4.0,0,True,0,,0.10368485356381545,0.1627394738504612,0.1365346928378559,0.0,0.8767530547940401,True
269,35.0,4.0,20.0,10.0,-0.1,0.1,60.0,4.0,0,True,0,,0.10397304104285757,0.14045880513731338,0.18164367933393424,0.0,0.8784534537799913,True
270,35.0,6.0,20.0,12.0,-0.1,0.1,60.0,4.0,0,True,0,,0.10326632751678491,0.14492919205365448,0.1759451886670836,0.0,0.8788688828415322,True
271,20.0,6.0,16.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.07087852556047829,0.20965971539270276,0.18081998016771922,0.0,0.8836535131950378,True
272,20.0,4.0,20.0,10.0,-0.1,0.1,60.0,4.0,0,True,0,,0.11031734221535071,0.16330220543903473,0.11766229286045693,0.0,0.8855360725999293,True
273,35.0,4.0,20.0,10.0,0.0,0.1,60.0,4.0,0,True,0,,0.1145016120356066,0.1261881788857361,0.17611971489644473,0.0,0.8865025208103433,True
274,35.0,6.0,16.0,10.0,0.0,0.1,60.0,4.0,0,True,0,,0.10533405801483249,0.12592559990287328,0.21670666291424584,0.0,0.8898940947793224,True
275,15.0,4.0,20.0,12.0,0.0,0.1,60.0,4.0,0,True,0,,0.12571714010556334,0.1596563837731403,0.07928338722769025,0.0,0.9014647151962242,True
276,20.0,6.0,20.0,12.0,-0.1,0.1,60.0,4.0,0,True,0,,0.10834587251023045,0.17071592987288456,0.12740798612953375,0.0,0.9022233359162247,True
277,15.0,4.0,16.0,12.0,-0.1,0.1,60.0,4.0,0,True,0,,0.117701894983164,0.16884212179646182,0.0939685649646132,0.0,0.9024603884901927,True
278,15.0,6.0,0.0,10.0,-0.2,0.1,60.0,4.0,0,True,0,,0.08703440076482885,0.13967770146423955,0.27961614929198,0.0,0.9071091552797745,True
279,20.0,4.0,16.0,10.0,-0.2,0.18,60.0,4.0,0,True,0,,0.12120246657662696,0.16118130721884494,0.10260323483598399,0.0,0.9097757155801818,True
280,20.0,6.0,20.0,10.0,-0.1,0.1,60.0,4.0,0,True,0,,0.10064705053750639,0.1849842700818143,0.14735369882347665,0.0,0.9199104411371308,True
281,15.0,4.0,20.0,10.0,0.0,0.1,60.0,4.0,0,True,0,,0.12166316162745479,0.17027388106761168,0.09338018573971305,0.0,0.9205805943847556,True
282,20.0,4.0,20.0,12.0,-0.2,0.25,60.0,4.0,0,True,0,,0.12079642924547974,0.18596080861329062,0.06573942161818355,0.0,0.9208467558266838,True
283,35.0,6.0,0.0,12.0,0.0,0.1,60.0,4.0,0,True,0,,0.0825794419213927,0.08659354197313376,0.43683542109526136,0.0,0.9403402727270997,False
284,20.0,4.0,20.0,12.0,-0.2,0.18,60.0,4.0,0,True,0,,0.0872604147138707,0.24533639294906845,0.10691417851579532,0.0,0.946628623269415,True
285,20.0,4.0,16.0,12.0,-0.2,0.1,60.0,4.0,0,True,0,,0.06654371414620465,0.265652425027935,0.15892188668918003,0.0,0.9564015933298687,True
